Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
48	:	1648014410.734	   209.190	0	0	0	0	./lj Ar_T=80_density=6_seed#=2 Ar 80 6 500 2000 0.025 2 1000 F
46	:	1648014408.331	   214.876	0	0	0	0	./lj Ar_T=80_density=6_seed#=0 Ar 80 6 500 2000 0.025 0 1000 F
47	:	1648014410.221	   214.926	0	0	0	0	./lj Ar_T=80_density=6_seed#=1 Ar 80 6 500 2000 0.025 1 1000 F
49	:	1648014585.894	   202.453	0	0	0	0	./lj Ar_T=80_density=6_seed#=3 Ar 80 6 500 2000 0.025 3 1000 F
50	:	1648014590.147	   207.347	0	0	0	0	./lj Ar_T=80_density=6_seed#=4 Ar 80 6 500 2000 0.025 4 1000 F
54	:	1648014608.807	   193.039	0	0	0	0	./lj Ar_T=80_density=6_seed#=8 Ar 80 6 500 2000 0.025 8 1000 F
51	:	1648014600.416	   203.469	0	0	0	0	./lj Ar_T=80_density=6_seed#=5 Ar 80 6 500 2000 0.025 5 1000 F
52	:	1648014605.474	   201.417	0	0	0	0	./lj Ar_T=80_density=6_seed#=6 Ar 80 6 500 2000 0.025 6 1000 F
55	:	1648014611.527	   204.493	0	0	0	0	./lj Ar_T=80_density=7_seed#=0 Ar 80 7 500 2000 0.025 0 1000 F
56	:	1648014612.160	   204.470	0	0	0	0	./lj Ar_T=80_density=7_seed#=1 Ar 80 7 500 2000 0.025 1 1000 F
53	:	1648014607.890	   210.439	0	0	0	0	./lj Ar_T=80_density=6_seed#=7 Ar 80 6 500 2000 0.025 7 1000 F
62	:	1648014619.928	   198.601	0	0	0	0	./lj Ar_T=80_density=7_seed#=7 Ar 80 7 500 2000 0.025 7 1000 F
57	:	1648014613.978	   205.685	0	0	0	0	./lj Ar_T=80_density=7_seed#=2 Ar 80 7 500 2000 0.025 2 1000 F
60	:	1648014617.937	   207.667	0	0	0	0	./lj Ar_T=80_density=7_seed#=5 Ar 80 7 500 2000 0.025 5 1000 F
58	:	1648014614.252	   211.365	0	0	0	0	./lj Ar_T=80_density=7_seed#=3 Ar 80 7 500 2000 0.025 3 1000 F
63	:	1648014623.212	   203.140	0	0	0	0	./lj Ar_T=80_density=7_seed#=8 Ar 80 7 500 2000 0.025 8 1000 F
59	:	1648014615.538	   211.100	0	0	0	0	./lj Ar_T=80_density=7_seed#=4 Ar 80 7 500 2000 0.025 4 1000 F
61	:	1648014619.628	   213.648	0	0	0	0	./lj Ar_T=80_density=7_seed#=6 Ar 80 7 500 2000 0.025 6 1000 F
64	:	1648014625.152	   217.240	0	0	0	0	./lj Ar_T=80_density=8_seed#=0 Ar 80 8 500 2000 0.025 0 1000 F
65	:	1648014788.353	   217.258	0	0	0	0	./lj Ar_T=80_density=8_seed#=1 Ar 80 8 500 2000 0.025 1 1000 F
68	:	1648014803.889	   204.414	0	0	0	0	./lj Ar_T=80_density=8_seed#=4 Ar 80 8 500 2000 0.025 4 1000 F
66	:	1648014797.499	   213.583	0	0	0	0	./lj Ar_T=80_density=8_seed#=2 Ar 80 8 500 2000 0.025 2 1000 F
67	:	1648014801.850	   209.887	0	0	0	0	./lj Ar_T=80_density=8_seed#=3 Ar 80 8 500 2000 0.025 3 1000 F
69	:	1648014806.895	   209.217	0	0	0	0	./lj Ar_T=80_density=8_seed#=5 Ar 80 8 500 2000 0.025 5 1000 F
71	:	1648014816.635	   204.467	0	0	0	0	./lj Ar_T=80_density=8_seed#=7 Ar 80 8 500 2000 0.025 7 1000 F
72	:	1648014818.334	   207.243	0	0	0	0	./lj Ar_T=80_density=8_seed#=8 Ar 80 8 500 2000 0.025 8 1000 F
77	:	1648014826.356	   203.710	0	0	0	0	./lj Ar_T=80_density=9_seed#=4 Ar 80 9 500 2000 0.025 4 1000 F
75	:	1648014825.609	   205.726	0	0	0	0	./lj Ar_T=80_density=9_seed#=2 Ar 80 9 500 2000 0.025 2 1000 F
70	:	1648014816.024	   215.759	0	0	0	0	./lj Ar_T=80_density=8_seed#=6 Ar 80 8 500 2000 0.025 6 1000 F
76	:	1648014825.621	   209.460	0	0	0	0	./lj Ar_T=80_density=9_seed#=3 Ar 80 9 500 2000 0.025 3 1000 F
78	:	1648014826.642	   211.950	0	0	0	0	./lj Ar_T=80_density=9_seed#=5 Ar 80 9 500 2000 0.025 5 1000 F
73	:	1648014818.533	   220.677	0	0	0	0	./lj Ar_T=80_density=9_seed#=0 Ar 80 9 500 2000 0.025 0 1000 F
74	:	1648014819.676	   220.790	0	0	0	0	./lj Ar_T=80_density=9_seed#=1 Ar 80 9 500 2000 0.025 1 1000 F
79	:	1648014833.281	   211.453	0	0	0	0	./lj Ar_T=80_density=9_seed#=6 Ar 80 9 500 2000 0.025 6 1000 F
80	:	1648014842.396	   215.768	0	0	0	0	./lj Ar_T=80_density=9_seed#=7 Ar 80 9 500 2000 0.025 7 1000 F
81	:	1648015005.616	   203.687	0	0	0	0	./lj Ar_T=80_density=9_seed#=8 Ar 80 9 500 2000 0.025 8 1000 F
91	:	1648015035.086	   181.410	0	0	0	0	./lj Ar_T=110_density=1_seed#=0 Ar 110 1 500 2000 0.025 0 1000 F
84	:	1648015011.741	   207.104	0	0	0	0	./lj Ar_T=80_density=10_seed#=2 Ar 80 10 500 2000 0.025 2 1000 F
92	:	1648015038.597	   181.413	0	0	0	0	./lj Ar_T=110_density=1_seed#=1 Ar 110 1 500 2000 0.025 1 1000 F
94	:	1648015040.471	   180.042	0	0	0	0	./lj Ar_T=110_density=1_seed#=3 Ar 110 1 500 2000 0.025 3 1000 F
93	:	1648015039.215	   182.004	0	0	0	0	./lj Ar_T=110_density=1_seed#=2 Ar 110 1 500 2000 0.025 2 1000 F
86	:	1648015021.107	   205.399	0	0	0	0	./lj Ar_T=80_density=10_seed#=4 Ar 80 10 500 2000 0.025 4 1000 F
82	:	1648015008.309	   219.888	0	0	0	0	./lj Ar_T=80_density=10_seed#=0 Ar 80 10 500 2000 0.025 0 1000 F
95	:	1648015044.738	   183.657	0	0	0	0	./lj Ar_T=110_density=1_seed#=4 Ar 110 1 500 2000 0.025 4 1000 F
83	:	1648015011.088	   219.840	0	0	0	0	./lj Ar_T=80_density=10_seed#=1 Ar 80 10 500 2000 0.025 1 1000 F
85	:	1648015016.117	   215.998	0	0	0	0	./lj Ar_T=80_density=10_seed#=3 Ar 80 10 500 2000 0.025 3 1000 F
87	:	1648015025.583	   212.009	0	0	0	0	./lj Ar_T=80_density=10_seed#=5 Ar 80 10 500 2000 0.025 5 1000 F
89	:	1648015031.339	   206.842	0	0	0	0	./lj Ar_T=80_density=10_seed#=7 Ar 80 10 500 2000 0.025 7 1000 F
96	:	1648015058.168	   183.298	0	0	0	0	./lj Ar_T=110_density=1_seed#=5 Ar 110 1 500 2000 0.025 5 1000 F
88	:	1648015030.070	   218.598	0	0	0	0	./lj Ar_T=80_density=10_seed#=6 Ar 80 10 500 2000 0.025 6 1000 F
90	:	1648015031.788	   217.400	0	0	0	0	./lj Ar_T=80_density=10_seed#=8 Ar 80 10 500 2000 0.025 8 1000 F
97	:	1648015209.308	   180.549	0	0	0	0	./lj Ar_T=110_density=1_seed#=6 Ar 110 1 500 2000 0.025 6 1000 F
98	:	1648015216.501	   181.891	0	0	0	0	./lj Ar_T=110_density=1_seed#=7 Ar 110 1 500 2000 0.025 7 1000 F
